Tahun;Provinsi;IKP;Kelompok IKP;Kerentanan Area;PoU;Jumlah_Penduduk;Penduduk_Undernourish;Ketersediaan Energi Nabati;Ketersediaan Energi Hewani;Ketersediaan Energi;Skor PPH;Konsumsi Energi (kkal/kap/hari);Jumlah_penduduk_gizi_cukup;persentase_penduduk_kurang_gizi;persentase_penduduk_gizi_cukup
2018;Aceh;0.0;0.0;0;8.66;5243400.0;454185.0;0.0;0.0;0.0;72.7;2104.0;4789215.0;9.0;91.0
2018;Bali;0.0;0.0;0;2.73;4309200.0;117676.0;0.0;0.0;0.0;90.9;2284.0;4191524.0;3.0;97.0
2018;Banten;0.0;0.0;0;2.94;12530800.0;368930.0;0.0;0.0;0.0;87.1;2263.0;12161870.0;3.0;97.0
2018;Bengkulu;0.0;0.0;0;8.7;1948600.0;169556.0;0.0;0.0;0.0;83.0;2165.0;1779044.0;9.0;91.0
2018;Di Yogyakarta;0.0;0.0;0;8.7;3818300.0;332322.0;0.0;0.0;0.0;95.1;2227.0;3485978.0;9.0;91.0
2018;Dki Jakarta;0.0;0.0;0;1.46;10428000.0;152656.0;0.0;0.0;0.0;89.1;2231.0;10275344.0;1.0;99.0
2018;Gorontalo;0.0;0.0;0;11.52;1166100.0;134367.0;0.0;0.0;0.0;76.7;2069.0;1031733.0;12.0;88.0
2018;Jambi;0.0;0.0;0;10.04;3527100.0;354285.0;0.0;0.0;0.0;85.3;2109.0;3172815.0;10.0;90.0
2018;Jawa Barat;0.0;0.0;0;3.81;48475500.0;1848942.0;0.0;0.0;0.0;86.6;2218.0;46626558.0;4.0;96.0
2018;Jawa Tengah;0.0;0.0;0;11.22;34358500.0;3853654.0;0.0;0.0;0.0;90.6;2109.0;30504846.0;11.0;89.0
2018;Jawa Timur;0.0;0.0;0;7.4;39521900.0;2925150.0;0.0;0.0;0.0;89.5;2134.0;36596750.0;7.0;93.0
2018;Kalimantan Barat;0.0;0.0;0;18.66;4985100.0;930113.0;0.0;0.0;0.0;74.8;1926.0;4054987.0;19.0;81.0
2018;Kalimantan Selatan;0.0;0.0;0;2.67;4162400.0;111004.0;0.0;0.0;0.0;83.8;2183.0;4051396.0;3.0;97.0
2018;Kalimantan Tengah;0.0;0.0;0;8.68;2612600.0;226758.0;0.0;0.0;0.0;83.4;2183.0;2385842.0;9.0;91.0
2018;Kalimantan Timur;0.0;0.0;0;10.15;3573800.0;362803.0;0.0;0.0;0.0;83.3;1999.0;3210997.0;10.0;90.0
2018;Kalimantan Utara;0.0;0.0;0;11.03;68280.0;7534.0;0.0;0.0;0.0;79.9;1975.0;60746.0;11.0;89.0
