No,Tahun,Provinsi,Kode Provinsi,IKP,Kelompok IKP,Kerentanan Area
1,2019,ACEH,11,66.22,5,Tahan
2,2019,SUMATERA UTARA,12,69.81,5,Tahan
3,2019,SUMATERA BARAT,13,75.43,6,Sangat Tahan
4,2019,RIAU,14,62.37,4,Agak Tahan
5,2019,JAMBI,15,68.23,5,Tahan
6,2019,SUMATERA SELATAN,16,69.3,5,Tahan
7,2019,BENGKULU,17,61.78,4,Agak Tahan
8,2019,LAMPUNG,18,71.36,5,Tahan
9,2019,KEPULAUAN BANGKA BELITUNG,19,56.03,3,Agak Rentan
10,2019,KEPULAUAN RIAU,21,59.26,4,Agak Tahan
11,2019,DKI JAKARTA,31,66.87,5,Tahan
12,2019,JAWA BARAT,32,76.44,6,Sangat Tahan
13,2019,JAWA TENGAH,33,78.85,6,Sangat Tahan
14,2019,DI YOGYAKARTA,34,83.63,6,Sangat Tahan
15,2019,JAWA TIMUR,35,73.71,5,Tahan
16,2019,BANTEN,36,74.47,6,Sangat Tahan
17,2019,BALI,51,85.15,6,Sangat Tahan
18,2019,NUSA TENGGARA BARAT,52,62.43,4,Agak Tahan
19,2019,NUSA TENGGARA TIMUR,53,50.69,3,Agak Rentan
20,2019,KALIMANTAN BARAT,61,55.17,3,Agak Rentan
21,2019,KALIMANTAN TENGAH,62,71.57,5,Tahan
22,2019,KALIMANTAN SELATAN,63,74.71,6,Sangat Tahan
23,2019,KALIMANTAN TIMUR,64,76.9,6,Sangat Tahan
24,2019,KALIMANTAN UTARA,65,73.12,5,Tahan
25,2019,SULAWESI UTARA,71,81.44,6,Sangat Tahan
26,2019,SULAWESI TENGAH,72,68.17,5,Tahan
27,2019,SULAWESI SELATAN,73,78.69,6,Sangat Tahan
28,2019,SULAWESI TENGGARA,74,76.99,6,Sangat Tahan
29,2019,GORONTALO,75,69.06,5,Tahan
30,2019,SULAWESI BARAT,76,60.37,4,Agak Tahan
31,2019,MALUKU,81,52.35,3,Agak Rentan
32,2019,MALUKU UTARA,82,66.58,5,Tahan
33,2019,PAPUA BARAT,91,30.12,1,Sangat Rentan
34,2019,PAPUA,94,25.13,1,Sangat Rentan
35,2020,ACEH,11,70.92,5,Tahan
36,2020,SUMATERA UTARA,12,71.84,5,Tahan
37,2020,SUMATERA BARAT,13,78.64,6,Sangat Tahan
38,2020,RIAU,14,64.12,4,Agak Tahan
39,2020,JAMBI,15,70,5,Tahan
40,2020,SUMATERA SELATAN,16,68.67,5,Tahan
41,2020,BENGKULU,17,70.28,5,Tahan
42,2020,LAMPUNG,18,77.43,6,Sangat Tahan
43,2020,KEPULAUAN BANGKA BELITUNG,19,71.21,5,Tahan
44,2020,KEPULAUAN RIAU,21,62.7,4,Agak Tahan
45,2020,DKI JAKARTA,31,77.97,6,Sangat Tahan
46,2020,JAWA BARAT,32,76.78,6,Sangat Tahan
47,2020,JAWA TENGAH,33,82.31,6,Sangat Tahan
48,2020,DI YOGYAKARTA,34,80.67,6,Sangat Tahan
49,2020,JAWA TIMUR,35,79.9,6,Sangat Tahan
50,2020,BANTEN,36,73.48,5,Tahan
51,2020,BALI,51,84.54,6,Sangat Tahan
52,2020,NUSA TENGGARA BARAT,52,75.6,6,Sangat Tahan
53,2020,NUSA TENGGARA TIMUR,53,66.92,5,Tahan
54,2020,KALIMANTAN BARAT,61,71.13,5,Tahan
55,2020,KALIMANTAN TENGAH,62,72.58,5,Tahan
56,2020,KALIMANTAN SELATAN,63,80.04,6,Sangat Tahan
57,2020,KALIMANTAN TIMUR,64,78.24,6,Sangat Tahan
58,2020,KALIMANTAN UTARA,65,71.9,5,Tahan
59,2020,SULAWESI UTARA,71,77.79,6,Sangat Tahan
60,2020,SULAWESI TENGAH,72,75.1,6,Sangat Tahan
61,2020,SULAWESI SELATAN,73,81.81,6,Sangat Tahan
62,2020,SULAWESI TENGGARA,74,77.06,6,Sangat Tahan
63,2020,GORONTALO,75,80.4,6,Sangat Tahan
64,2020,SULAWESI BARAT,76,76.36,6,Sangat Tahan
65,2020,MALUKU,81,58.15,4,Agak Tahan
66,2020,MALUKU UTARA,82,63.12,4,Agak Tahan
67,2020,PAPUA BARAT,91,49.4,3,Agak Rentan
68,2020,PAPUA,94,34.79,1,Sangat Rentan
69,2021,ACEH,11,71.63,5,Tahan
70,2021,SUMATERA UTARA,12,72.25,5,Tahan
71,2021,SUMATERA BARAT,13,79.55,6,Sangat Tahan
72,2021,RIAU,14,66.84,5,Tahan
73,2021,JAMBI,15,74.18,5,Tahan
74,2021,SUMATERA SELATAN,16,69.55,5,Tahan
75,2021,BENGKULU,17,70.32,5,Tahan
76,2021,LAMPUNG,18,77.96,6,Sangat Tahan
77,2021,KEPULAUAN BANGKA BELITUNG,19,73.22,5,Tahan
